id	de	level	ko	note	model
zug	der Zug	a1	기차, 열차		claude-fable-5-1
zurueck	zurück	a1	되돌아, 뒤로	'und zurück' = 왕복	claude-fable-5-1
zusammen	zusammen	a1	함께, 합쳐서	계산 시 '합쳐서'	claude-fable-5-1
zwischen	zwischen	a1	~사이에	위치 3격, 이동 4격	claude-fable-5-1
abschliessen	abschließen	a2	잠그다, 마치다	분리동사	claude-fable-5-1
ahnung	die Ahnung	a2	짐작, 예감	keine Ahnung = 전혀 모름	claude-fable-5-1
aktiv	aktiv	a2	활동적인, 적극적인		claude-fable-5-1
aktuell	aktuell	a2	현재의, 최신의	'실제의' 뜻 아님	claude-fable-5-1
als	als	a2	~보다, ~로서, ~했을 때	'때'는 과거 1회 사건	claude-fable-5-1
ampel	die Ampel	a2	신호등		claude-fable-5-1
aendern	ändern	a2	바꾸다, 변하다	재귀형은 '변하다'	claude-fable-5-1
anders	anders	a2	다르게, 다른	anders als = ~와 다른	claude-fable-5-1
angst	die Angst	a2	두려움, 걱정	Angst haben vor + 3격	claude-fable-5-1
ansehen	ansehen	a2	보다, 바라보다, 관람하다	분리동사, 재귀 sich(3격)	claude-fable-5-1
anzug	der Anzug	a2	정장, 양복		claude-fable-5-1
apotheke	die Apotheke	a2	약국		claude-fable-5-1
apparat	der Apparat	a2	기기, 장치	Fotoapparat = 카메라	claude-fable-5-1
aergern	ärgern (sich)	a2	화내다, 짜증내다	재귀동사, über + 4격	claude-fable-5-1
arm-2	arm	a2	가난한, 불쌍한		claude-fable-5-1
artikel	der Artikel	a2	관사, 기사, 품목		claude-fable-5-1
auf-jeden	auf jeden/keinen Fal	a2	반드시, 결코 ~않다	jeden=긍정, keinen=부정	claude-fable-5-1
aufhoeren	aufhören	a2	그만두다, 멈추다, 끝나다	분리동사, mit + 3격	claude-fable-5-1
aufmachen	aufmachen	a2	열다	분리동사, 구어	claude-fable-5-1
aufpassen	aufpassen	a2	조심하다, 주의하다, 돌보다	분리동사, auf + 4격	claude-fable-5-1
aufraeumen	aufräumen	a2	정리하다, 치우다	분리동사	claude-fable-5-1
aufregend	aufregend	a2	흥미진진한, 짜릿한	현재분사형 형용사	claude-fable-5-1
ausbildung	die Ausbildung	a2	직업 교육, 양성 과정	독일 직업훈련 제도	claude-fable-5-1
ausgeben	ausgeben	a2	쓰다, 지출하다	분리동사, für + 4격	claude-fable-5-1
ausgehen	ausgehen	a2	외출하다, 나가다, 꺼지다	분리동사, sein 완료	claude-fable-5-1
auspacken	auspacken	a2	짐을 풀다, 꺼내다	분리동사	claude-fable-5-1
ausruhen	ausruhen (sich)	a2	쉬다, 휴식하다	재귀동사, 분리동사	claude-fable-5-1
ausser	außer	a2	~을 제외하고, ~외에	3격, außer Betrieb=고장	claude-fable-5-1
ausserdem	außerdem	a2	그 밖에, 게다가		claude-fable-5-1
ausserhalb	außerhalb	a2	~바깥에, 교외에	2격 또는 von + 3격	claude-fable-5-1
aussprechen	aussprechen	a2	발음하다, 말로 표현하다	분리동사	claude-fable-5-1
ausstellung	die Ausstellung	a2	전시회, 발급		claude-fable-5-1
austragen	austragen	a2	배달하다	분리동사	claude-fable-5-1
babysitter	der Babysitter	a2	베이비시터		claude-fable-5-1
backen	backen	a2	굽다	bäckt/backt 둘 다 씀	claude-fable-5-1
ball	der Ball	a2	공, 무도회		claude-fable-5-1
band	die Band	a2	밴드, 악단	das Band(끈)와 구분	claude-fable-5-1
basketball	der Basketball	a2	농구, 농구공		claude-fable-5-1
basteln	basteln	a2	만들다, 공작하다	손으로 만드는 취미	claude-fable-5-1
bauen	bauen	a2	짓다, 건설하다		claude-fable-5-1
baustelle	die Baustelle	a2	공사장, 공사 현장		claude-fable-5-1
beantworten	beantworten	a2	대답하다, 답하다, 답장하다	비분리동사, 4격 목적어	claude-fable-5-1
bedanken	bedanken (sich)	a2	감사하다, 감사를 표하다	재귀동사, bei+3격 für+4격	claude-fable-5-1
beeilen	beeilen (sich)	a2	서두르다	재귀동사	claude-fable-5-1
beenden	beenden	a2	끝내다, 마치다	비분리동사	claude-fable-5-1
begruenden	begründen	a2	이유를 말하다, 근거를 대다	비분리동사	claude-fable-5-1
beliebt	beliebt	a2	인기 있는	bei+3격: ~에게 인기	claude-fable-5-1
bequem	bequem	a2	편안한, 편리한		claude-fable-5-1
beraten	beraten	a2	조언하다, 상담해 주다	불규칙, 4격 목적어	claude-fable-5-1
berg	der Berg	a2	산	복수 die Berge	claude-fable-5-1
berichten	berichten	a2	보도하다, 보고하다, 알리다	von+3격/über+4격	claude-fable-5-1
beruehmt	berühmt	a2	유명한		claude-fable-5-1
bescheid	der Bescheid	a2	통보, 결정, 소식	Bescheid geben: 알려주다	claude-fable-5-1
beschreiben	beschreiben	a2	묘사하다, 설명하다	불규칙, 비분리동사	claude-fable-5-1
beschweren	beschweren (sich)	a2	불평하다, 항의하다	재귀동사, über+4격	claude-fable-5-1
besonders	besonders	a2	특히, 특별히	nicht besonders: 별로	claude-fable-5-1
bestaetigen	bestätigen	a2	확인하다, 확인해 주다		claude-fable-5-1
bestehen	bestehen	a2	합격하다, 구성되다, 존재하다	불규칙, aus+3격: 구성되다	claude-fable-5-1
besuch	der Besuch	a2	방문, 손님	손님 뜻일 때도 단수	claude-fable-5-1
bewerben	bewerben (sich)	a2	지원하다, 응모하다	재귀동사, um+4격, 불규칙	claude-fable-5-1
bewoelkt	bewölkt	a2	흐린, 구름 낀		claude-fable-5-1
wolke	die Wolke	a2	구름	복수 die Wolken	claude-fable-5-1
bibliothek	die Bibliothek	a2	도서관		claude-fable-5-1
blatt	das Blatt	a2	종이 한 장, 나뭇잎, 잎	복수 Blätter, 단위명사로도	claude-fable-5-1
bloed	blöd	a2	바보 같은, 짜증 나는	구어	claude-fable-5-1
blond	blond	a2	금발의		claude-fable-5-1
bluse	die Bluse	a2	블라우스		claude-fable-5-1
bohne	die Bohne	a2	콩	보통 복수 Bohnen	claude-fable-5-1
braten	braten	a2	굽다, 부치다, 튀기다	불규칙: brät, gebraten	claude-fable-5-1
brille	die Brille	a2	안경	안경 하나는 단수	claude-fable-5-1
bruecke	die Brücke	a2	다리		claude-fable-5-1
buchen	buchen	a2	예약하다	여행·항공권 예약	claude-fable-5-1
bunt	bunt	a2	알록달록한, 다채로운		claude-fable-5-1
buero	das Büro	a2	사무실	복수 Büros	claude-fable-5-1
cafeteria	die Cafeteria	a2	카페테리아, 구내식당		claude-fable-5-1
chatten	chatten	a2	채팅하다	영어식 발음, mit+3격	claude-fable-5-1
chefin	die Chefin	a2	여자 상사, 여사장	Chef의 여성형	claude-fable-5-1
club	der Club	a2	클럽, 동호회	Klub으로도 씀	claude-fable-5-1
creme	die Creme	a2	크림	화장품·케이크 크림 모두	claude-fable-5-1
dar-bsp-darauf	da(r) (Bsp. darauf	a2	그것에, 그것에 대해	da(r)+전치사, 모음 앞 dar-	claude-fable-5-1
dabei	dabei	a2	지니고, 함께, 그때	dabei haben: 지니고 있다	claude-fable-5-1
dafuer	dafür/dagegen sein	a2	찬성하다, 반대하다, 그것에	da+für/gegen 대명사부사	claude-fable-5-1
damals	damals	a2	그 당시에, 그때		claude-fable-5-1
dass	dass	a2	~라고, ~라는 것	종속접속사, 동사 문미	claude-fable-5-1
datei	die Datei	a2	파일	컴퓨터 파일	claude-fable-5-1
denken	denken	a2	생각하다	불규칙: dachte, gedacht	claude-fable-5-1
deshalb	deshalb	a2	그래서, 그 때문에	접속부사, 뒤에 동사 도치	claude-fable-5-1
deutlich	deutlich	a2	분명한, 또렷한, 명확한	부사로 '똑똑히'	claude-fable-5-1
dick	dick	a2	뚱뚱한, 두꺼운		claude-fable-5-1
ding	das Ding	a2	물건, 것	복수 Dinge, 구어	claude-fable-5-1
direkt	direkt	a2	바로, 직접, 직행의		claude-fable-5-1
disko	die Disko	a2	디스코텍, 클럽	Disco로도 씀	claude-fable-5-1
diskutieren	diskutieren	a2	토론하다, 논의하다	über+4격 / mit+3격	claude-fable-5-1
doch	doch	a2	아니 맞아, 좀, 정말	부정 의문에 긍정 답, 화법조사	claude-fable-5-1
dringend	dringend	a2	긴급한, 급한		claude-fable-5-1
drinnen	drinnen	a2	안에, 실내에	↔ draußen	claude-fable-5-1
drueben	drüben	a2	저쪽에, 건너편에	da/dort drüben	claude-fable-5-1
dumm	dumm	a2	멍청한, 어리석은		claude-fable-5-1
dunkel	dunkel	a2	어두운, 짙은	어미 붙으면 dunkle	claude-fable-5-1
duenn	dünn	a2	얇은, 마른		claude-fable-5-1
durst-sing	der Durst (Sing.)	a2	갈증	단수만, Durst haben	claude-fable-5-1
e-book	das E-Book	a2	전자책		claude-fable-5-1
echt	echt	a2	진짜의, 정말	부사 '정말'은 구어	claude-fable-5-1
einkaufszentrum	das Einkaufszentrum	a2	쇼핑센터		claude-fable-5-1
einpacken	einpacken	a2	포장하다, 싸다, 챙기다	분리동사	claude-fable-5-1
packt-ein	packt ein	a2	챙기다, 포장하다	einpacken 활용형	claude-fable-5-1
steigt-ein	steigt ein	a2	타다, 승차하다	einsteigen 활용형	claude-fable-5-1
eintragen	eintragen (sich)	a2	기입하다, 등록하다	분리동사, sich+in 4격	claude-fable-5-1
traegt-ein	trägt ein	a2	기입하다, 등록하다	eintragen 활용형	claude-fable-5-1
einverstanden-sein	einverstanden sein	a2	동의하다, 찬성하다	mit+3격	claude-fable-5-1
einzel	einzel-	a2	개별의, 단독의, 혼자의	합성어 앞에 붙음	claude-fable-5-1
einziehen	einziehen	a2	이사 오다, 입주하다	분리동사, sein 완료	claude-fable-5-1
zieht-ein	zieht ein	a2	이사 오다, 입주하다	einziehen 활용형	claude-fable-5-1
egal	egal	a2	상관없는, 아무래도 좋은	mir/dir egal	claude-fable-5-1
eigen	eigen-	a2	자기 자신의, 고유한		claude-fable-5-1
eigentlich	eigentlich	a2	원래는, 사실은, 도대체	질문에선 '그런데' 뉘앙스	claude-fable-5-1
eis	das Eis	a2	아이스크림, 얼음		claude-fable-5-1
einig	einig-	a2	몇몇의, 약간의	einige 형태로 씀	claude-fable-5-1
endlich	endlich	a2	마침내, 드디어		claude-fable-5-1
eng	eng	a2	꽉 끼는, 좁은, 긴밀한		claude-fable-5-1
erdgeschoss	das Erdgeschoss	a2	1층	지상층, 한국식 1층	claude-fable-5-1
erfahrung	die Erfahrung	a2	경험	Erfahrungen machen	claude-fable-5-1
erinnern	erinnern (sich)	a2	기억하다, 상기시키다	재귀동사, an+4격	claude-fable-5-1
erkaeltet-sein	erkältet sein	a2	감기에 걸리다	상태 표현	claude-fable-5-1
erlaubt-sein	erlaubt sein	a2	허용되다, 허가되다		claude-fable-5-1
erlaubnis	die Erlaubnis	a2	허가, 허락		claude-fable-5-1
ermaessigung	die Ermäßigung	a2	할인, 감액		claude-fable-5-1
erreichen	erreichen	a2	잡아타다, 연락이 닿다, 도달하다	4격 목적어	claude-fable-5-1
erst	erst	a2	비로소, 겨우, 이제야	시간적 '아직 ~밖에'	claude-fable-5-1
etwas	etwas	a2	무엇인가, 어떤 것, 조금	etwas anderes=다른 것	claude-fable-5-1
fach	das Fach	a2	과목, 칸		claude-fable-5-1
faehrt-ab	fährt (ab)	a2	출발하다, 떠나다	abfahren 활용형	claude-fable-5-1
ist-abgefahren	ist (ab)gefahren	a2	출발하다, 떠나다	abfahren 완료형(sein)	claude-fable-5-1
fahrplan	der Fahrplan	a2	시간표, 운행표		claude-fable-5-1
fallen	fallen	a2	떨어지다, 내리다, 하락하다	sein 완료, fällt	claude-fable-5-1
ist-gefallen	ist gefallen	a2	떨어지다	fallen 완료형(sein)	claude-fable-5-1
fan	der Fan	a2	팬		claude-fable-5-1
fantastisch	fantastisch	a2	환상적인, 굉장한		claude-fable-5-1
fast	fast	a2	거의		claude-fable-5-1
faul	faul	a2	게으른, 썩은		claude-fable-5-1
feier-2	die Feier	a2	축하 행사, 파티, 축제	Feierabend=퇴근 시간	claude-fable-5-1
fenster	das Fenster	a2	창문		claude-fable-5-1
ferien	die Ferien	a2	방학, 휴가	복수형만 씀	claude-fable-5-1
fernseher	der Fernseher	a2	텔레비전		claude-fable-5-1
fertig-sein	fertig sein	a2	다 되다, 준비되다, 끝나다		claude-fable-5-1
fest	das Fest	a2	축제, 파티, 명절	Frohes Fest!=명절 인사	claude-fable-5-1
festival	das Festival	a2	페스티벌, 축제		claude-fable-5-1
fett	fett	a2	기름진, 뚱뚱한		claude-fable-5-1
fit-sein	fit sein	a2	건강하다, 컨디션이 좋다		claude-fable-5-1
fleissig	fleißig	a2	부지런한, 성실한		claude-fable-5-1
flohmarkt	der Flohmarkt	a2	벼룩시장	auf dem Flohmarkt	claude-fable-5-1
flug	der Flug	a2	비행, 항공편		claude-fable-5-1
fluss	der Fluss	a2	강		claude-fable-5-1
fotoapparat	der Fotoapparat	a2	카메라, 사진기		claude-fable-5-1
fotografieren	fotografieren	a2	사진을 찍다	과거분사 ge- 없음	claude-fable-5-1
freiwillig	freiwillig	a2	자발적인, 자원하여		claude-fable-5-1
fuehlen	fühlen (sich)	a2	느끼다, 기분이 들다, 만져 보다	재귀동사	claude-fable-5-1
fuehrerschein	der Führerschein	a2	운전면허증	den Führerschein machen	claude-fable-5-1
fundsachen	die Fundsachen	a2	분실물, 습득물	복수형만 씀	claude-fable-5-1
furchtbar	furchtbar	a2	끔찍한, 몹시	부사로 '몹시'	claude-fable-5-1
freundin	die Freundin	a2	친구, 여자 친구	여성형, 애인 뜻도 있음	claude-fable-5-1
freundlich	freundlich	a2	친절한, 상냥한	zu + 3격: ~에게	claude-fable-5-1
frisch	frisch	a2	신선한, 갓 ~한		claude-fable-5-1
froh	froh	a2	기쁜, 즐거운	froh, dass… 자주 씀	claude-fable-5-1
frueh	früh	a2	이른, 일찍	부사로도 씀	claude-fable-5-1
gabel	die Gabel	a2	포크		claude-fable-5-1
ganz	ganz	a2	온전한, 전체의, 아주	부사로 '아주, 꽤'	claude-fable-5-1
garage	die Garage	a2	차고		claude-fable-5-1
geburts-jahr	Geburts-(jahr	a2	출생 연도, 출생지, 생일	출생 관련 합성어	claude-fable-5-1
geehrt	geehrt-	a2	존경하는	편지 서두 관용구	claude-fable-5-1
gefaehrlich	gefährlich	a2	위험한		claude-fable-5-1
gegenteil	das Gegenteil	a2	반대, 정반대	im Gegenteil: 반대로	claude-fable-5-1
gegenueber	gegenüber	a2	~맞은편에, ~에 대해	3격 지배, 명사 뒤에도 옴	claude-fable-5-1
gehalt	das Gehalt	a2	급여, 월급	복수 Gehälter	claude-fable-5-1
geldboerse	die Geldbörse	a2	지갑		claude-fable-5-1
genau	genau	a2	정확한, 정확히	부사로도 씀, '맞아요'	claude-fable-5-1
genug	genug	a2	충분한, 충분히	불변화, 형용사 뒤에 옴	claude-fable-5-1
geradeaus	geradeaus	a2	똑바로, 직진으로	길 안내	claude-fable-5-1
geraet	das Gerät	a2	기기, 장치	예문은 Elektrogerät	claude-fable-5-1
gericht	das Gericht	a2	요리, 법원	두 뜻 모두 중성	claude-fable-5-1
gern	gern	a2	기꺼이, 즐겨	비교 lieber, am liebsten	claude-fable-5-1
geschichte	die Geschichte	a2	이야기, 역사		claude-fable-5-1
geschirr	das Geschirr	a2	식기, 그릇	집합명사, 단수로 씀	claude-fable-5-1
gesicht	das Gesicht	a2	얼굴		claude-fable-5-1
gesund	gesund	a2	건강한, 건강에 좋은		claude-fable-5-1
gesundheit	die Gesundheit	a2	건강	재채기 때 'Gesundheit!'	claude-fable-5-1
gewitter	das Gewitter	a2	뇌우, 천둥번개		claude-fable-5-1
gitarre	die Gitarre	a2	기타	Gitarre spielen 무관사	claude-fable-5-1
grippe	die Grippe	a2	독감		claude-fable-5-1
gueltig-sein	gültig sein	a2	유효하다		claude-fable-5-1
hals	der Hals	a2	목, 목구멍	Halsschmerzen 인후통	claude-fable-5-1
hamburger	der Hamburger	a2	햄버거		claude-fable-5-1
handtuch	das Handtuch	a2	수건	복수 Handtücher	claude-fable-5-1
haengen	hängen	a2	걸려 있다, 걸다	자동사 강변화, 타동사 약변화	claude-fable-5-1
hart	hart	a2	딱딱한, 힘든		claude-fable-5-1
haesslich	hässlich	a2	못생긴, 보기 흉한		claude-fable-5-1
hauptstadt	die Hauptstadt	a2	수도		claude-fable-5-1
haushalt	der Haushalt	a2	가사, 살림	den Haushalt machen	claude-fable-5-1
heft	das Heft	a2	공책, 노트		claude-fable-5-1
heiss	heiß	a2	뜨거운, 더운	Mir ist heiß (3격)	claude-fable-5-1
heizung	die Heizung	a2	난방, 난방기		claude-fable-5-1
hemd	das Hemd	a2	셔츠, 와이셔츠	복수 Hemden	claude-fable-5-1
her	her/her-/-her	a2	이리로, 이쪽으로	말하는 사람 쪽으로 이동	claude-fable-5-1
heraus	heraus/raus	a2	밖으로	구어 raus, 분리전철	claude-fable-5-1
herein	herein/rein	a2	안으로	구어 rein, 분리전철	claude-fable-5-1
herstellen	herstellen	a2	제조하다, 생산하다	분리동사	claude-fable-5-1
herunterladen	herunterladen	a2	다운로드하다	분리동사, 강변화	claude-fable-5-1
himmel	der Himmel	a2	하늘		claude-fable-5-1
hin	hin/hin-/-hin	a2	저리로, 그쪽으로	말하는 사람에게서 멀어짐	claude-fable-5-1
hinter	hinter	a2	~뒤에, ~뒤로	장소 이동은 4격, 위치 3격	claude-fable-5-1
hoffen	hoffen	a2	바라다, 희망하다	hoffen auf + 4격	claude-fable-5-1
hoffentlich	hoffentlich	a2	바라건대, 부디		claude-fable-5-1
homepage	die Homepage	a2	홈페이지, 웹사이트		claude-fable-5-1
hose	die Hose	a2	바지	단수로 씀	claude-fable-5-1
husten	husten	a2	기침하다		claude-fable-5-1
idee	die Idee	a2	생각, 아이디어		claude-fable-5-1
informieren	informieren (sich)	a2	알아보다, 알리다	재귀: sich über + 4격	claude-fable-5-1
insel	die Insel	a2	섬	auf der Insel	claude-fable-5-1
instrument	das Instrument	a2	악기, 도구		claude-fable-5-1
intelligent	intelligent	a2	똑똑한, 지적인		claude-fable-5-1
interesse	das Interesse	a2	관심, 흥미	복수 Interessen	claude-fable-5-1
interessieren	interessieren (sich)	a2	관심을 가지다, 흥미를 끌다	재귀동사	claude-sonnet-5
interessant	interessant	a2	흥미로운, 재미있는		claude-sonnet-5
interview	das Interview	a2	인터뷰		claude-sonnet-5
jeans	die Jeans	a2	청바지	복수형만 씀	claude-sonnet-5
jeder	jeder	a2	각각의, 모든, 누구나		claude-sonnet-5
jemand	jemand	a2	누군가, 누구		claude-sonnet-5
joggen	joggen	a2	조깅하다		claude-sonnet-5
jugendherberge	die Jugendherberge	a2	유스호스텔		claude-sonnet-5
kalender	der Kalender	a2	달력, 일정표		claude-sonnet-5
kalt	kalt	a2	추운, 차가운	Mir ist kalt: 3격	claude-sonnet-5
schloss	das Schloss	a2	성, 자물쇠	두 뜻 다 중성	claude-sonnet-5
schmerz	der Schmerz	a2	고통, 통증, 아픔		claude-sonnet-5
schmutzig	schmutzig	a2	더러운, 지저분한		claude-sonnet-5
schnee	der Schnee	a2	눈		claude-sonnet-5
schneiden	schneiden (sich)	a2	자르다, 베다	재귀시 다치다	claude-sonnet-5
schneien	schneien	a2	눈이 오다	비인칭동사	claude-sonnet-5
schokolade	die Schokolade	a2	초콜릿		claude-sonnet-5
schrecklich	schrecklich	a2	끔찍한, 무서운, 지독한		claude-sonnet-5
schriftlich	schriftlich	a2	서면의, 문서로 된		claude-sonnet-5
schuelerin	die Schülerin	a2	여학생		claude-sonnet-5
schwach	schwach	a2	약한, 힘없는		claude-sonnet-5
schwanger	schwanger	a2	임신한		claude-sonnet-5
schwein	das Schwein	a2	돼지	돼지고기=Schweinefleisch	claude-sonnet-5
schwierig	schwierig	a2	어려운, 힘든		claude-sonnet-5
see-2	die See	a2	바다	여성명사, der See=호수	claude-sonnet-5
seife	die Seife	a2	비누		claude-sonnet-5
seite	die Seite	a2	페이지, 쪽, 옆, 편		claude-sonnet-5
selbst	selbst	a2	스스로, 직접, 자신이	selber와 같음	claude-sonnet-5
sendung	die Sendung	a2	방송, 프로그램, 발송물		claude-sonnet-5
service	der Service	a2	서비스		claude-sonnet-5
setzen	setzen (sich)	a2	놓다, 앉히다, 앉다	재귀동사	claude-sonnet-5
sicher	sicher	a2	안전한, 확실한, 틀림없이		claude-sonnet-5
singen	singen	a2	노래하다		claude-sonnet-5
situation	die Situation	a2	상황		claude-sonnet-5
ski	der Ski	a2	스키		claude-sonnet-5
sogar	sogar	a2	심지어, ~조차		claude-sonnet-5
sonnig	sonnig	a2	화창한, 맑은		claude-sonnet-5
sonst	sonst	a2	그 밖에, 그렇지 않으면		claude-sonnet-5
spannend	spannend	a2	흥미진진한, 긴장되는		claude-sonnet-5
sparen	sparen	a2	절약하다, 저축하다		claude-sonnet-5
spass	der Spaß	a2	재미, 즐거움	관용구 많음	claude-sonnet-5
spazieren-gehen	spazieren gehen	a2	산책하다	분리동사	claude-sonnet-5
spaziergang	der Spaziergang	a2	산책		claude-sonnet-5
speichern	speichern	a2	저장하다		claude-sonnet-5
spiel	das Spiel	a2	게임, 놀이, 경기		claude-sonnet-5
sportlich	sportlich	a2	스포츠의, 운동을 좋아하는, 활동적인		claude-sonnet-5
sportplatz	der Sportplatz	a2	운동장, 경기장		claude-sonnet-5
sprechstunde	die Sprechstunde	a2	진료시간, 상담시간		claude-sonnet-5
stadtplan	der Stadtplan	a2	시가지도, 도시 지도		claude-sonnet-5
star	der Star	a2	스타		claude-sonnet-5
stark	stark	a2	강한, 심한		claude-sonnet-5
stattfinden	stattfinden	a2	열리다, 개최되다	분리동사	claude-sonnet-5
sterben	sterben	a2	죽다		claude-sonnet-5
stiefel	der Stiefel	a2	부츠, 장화		claude-sonnet-5
stift	der Stift	a2	펜, 연필		claude-sonnet-5
stipendium	das Stipendium	a2	장학금		claude-sonnet-5
stockwerk	das Stockwerk	a2	층		claude-sonnet-5
stoeren	stören	a2	방해하다		claude-sonnet-5
strand	der Strand	a2	해변		claude-sonnet-5
streiten	streiten (sich)	a2	다투다, 싸우다	재귀동사	claude-sonnet-5
streng	streng	a2	엄격한		claude-sonnet-5
stress	der Stress	a2	스트레스		claude-sonnet-5
stressig	stressig	a2	스트레스가 많은		claude-sonnet-5
stueck	das Stück	a2	조각, 개, 작품	수량 단위로도 씀	claude-sonnet-5
studentin	die Studentin	a2	여대생		claude-sonnet-5
stuhl	der Stuhl	a2	의자		claude-sonnet-5
super	super	a2	최고의, 훌륭한, 대단한	구어	claude-sonnet-5
supermarkt	der Supermarkt	a2	슈퍼마켓		claude-sonnet-5
suppe	die Suppe	a2	수프		claude-sonnet-5
surfen	surfen	a2	서핑하다, 인터넷 검색하다		claude-sonnet-5
portion	die Portion	a2	1인분, (음식의) 양		claude-sonnet-5
poster	das Poster	a2	포스터		claude-sonnet-5
postkarte	die Postkarte	a2	엽서		claude-sonnet-5
praktisch	praktisch	a2	실용적인, 편리한, 거의	부사로 '거의'	claude-sonnet-5
preiswert	preiswert	a2	저렴한, 값싼		claude-sonnet-5
privat	privat	a2	사적인, 개인적인		claude-sonnet-5
pro	pro	a2	~당, ~마다		claude-sonnet-5
probieren	probieren	a2	시도하다, 맛보다, 입어보다		claude-sonnet-5
produkt	das Produkt	a2	제품, 상품		claude-sonnet-5
programm	das Programm	a2	프로그램, 편성표		claude-sonnet-5
projekt	das Projekt	a2	프로젝트, 계획		claude-sonnet-5
pruefen	prüfen	a2	검사하다, 확인하다		claude-sonnet-5
pullover	der Pullover	a2	스웨터		claude-sonnet-5
putzen	putzen	a2	닦다, 청소하다	치아: 재귀동사	claude-sonnet-5
qualitaet	die Qualität	a2	품질		claude-sonnet-5
quiz	das Quiz	a2	퀴즈		claude-sonnet-5
radio	das Radio	a2	라디오		claude-sonnet-5
raten	raten	a2	조언하다, 추측하다	불규칙(rät)	claude-sonnet-5
rathaus	das Rathaus	a2	시청		claude-sonnet-5
raetsel	das Rätsel	a2	수수께끼		claude-sonnet-5
rechnen	rechnen	a2	계산하다		claude-sonnet-5
recht-haben	recht haben	a2	옳다, 맞다	recht haben로 씀	claude-sonnet-5
reden	reden	a2	말하다, 이야기하다		claude-sonnet-5
reich	reich	a2	부유한		claude-sonnet-5
reifen	der Reifen	a2	타이어		claude-sonnet-5
reihe	die Reihe	a2	줄, 열, 차례	an der Reihe: 차례	claude-sonnet-5
reinigung	die Reinigung	a2	청소, 세탁소		claude-sonnet-5
reiten	reiten	a2	(말을) 타다	이동동사(sein)	claude-sonnet-5
renovieren	renovieren	a2	개조하다, 보수하다		claude-sonnet-5
rentner	der Rentner	a2	은퇴자, 연금 수급자		claude-sonnet-5
rentnerin	die Rentnerin	a2	은퇴자, 연금 수급자	여성형	claude-sonnet-5
reservieren	reservieren	a2	예약하다		claude-sonnet-5
rest	der Rest	a2	나머지		claude-sonnet-5
rezept	das Rezept	a2	요리법, 처방전		claude-sonnet-5
rind	das Rind	a2	소고기, 소		claude-sonnet-5
ring	der Ring	a2	반지		claude-sonnet-5
rock	der Rock	a2	치마		claude-sonnet-5
romantisch	romantisch	a2	낭만적인		claude-sonnet-5
rose	die Rose	a2	장미		claude-sonnet-5
ruecken	der Rücken	a2	등		claude-sonnet-5
rucksack	der Rucksack	a2	배낭		claude-sonnet-5
rufen	rufen	a2	부르다, 외치다		claude-sonnet-5
ruhe	die Ruhe	a2	고요, 휴식, 정적	in Ruhe: 관용구	claude-sonnet-5
rund	rund	a2	둥근, 약, 대략	부사로 '약'	claude-sonnet-5
rundgang	der Rundgang	a2	견학, 순회, 관람		claude-sonnet-5
sache	die Sache	a2	물건, 일		claude-sonnet-5
sammeln	sammeln	a2	모으다, 수집하다		claude-sonnet-5
sauber	sauber	a2	깨끗한		claude-sonnet-5
sauer	sauer	a2	신, 화난		claude-sonnet-5
schade	schade	a2	아쉬운, 유감스러운	감탄사처럼 씀	claude-sonnet-5
schaedlich	schädlich	a2	해로운		claude-sonnet-5
schaffen	schaffen	a2	해내다, 성공하다		claude-sonnet-5
scharf	scharf	a2	매운, 날카로운		claude-sonnet-5
schenken	schenken	a2	선물하다		claude-sonnet-5
schere	die Schere	a2	가위		claude-sonnet-5
schiff	das Schiff	a2	배, 선박		claude-sonnet-5
schimpfen	schimpfen	a2	잔소리하다, 불평하다	über/auf+4격	claude-sonnet-5
schirm	der Schirm	a2	우산		claude-sonnet-5
schlafzimmer	das Schlafzimmer	a2	침실		claude-sonnet-5
schlimm	schlimm	a2	나쁜, 심각한		claude-sonnet-5
kamera	die Kamera	a2	카메라		claude-sonnet-5
kaese	der Käse	a2	치즈		claude-sonnet-5
katze	die Katze	a2	고양이		claude-sonnet-5
keller	der Keller	a2	지하실		claude-sonnet-5
kenntnisse	die Kenntnisse	a2	지식, 능력, 실력	주로 복수형	claude-sonnet-5
kette	die Kette	a2	목걸이, 사슬		claude-sonnet-5
kirche	die Kirche	a2	교회		claude-sonnet-5
klappen	klappen	a2	잘 되다, 성사되다		claude-sonnet-5
klavier	das Klavier	a2	피아노		claude-sonnet-5
kleid	das Kleid	a2	원피스, 드레스		claude-sonnet-5
klug	klug	a2	똑똑한, 영리한		claude-sonnet-5
kollegin	die Kollegin	a2	여자 동료	여성형	claude-sonnet-5
komisch	komisch	a2	웃긴, 이상한		claude-sonnet-5
kontakt	der Kontakt	a2	연락, 접촉		claude-sonnet-5
kontrollieren	kontrollieren	a2	점검하다, 검사하다		claude-sonnet-5
konzert	das Konzert	a2	콘서트, 연주회		claude-sonnet-5
koerper	der Körper	a2	몸, 신체		claude-sonnet-5
kosmetik	die Kosmetik	a2	화장품		claude-sonnet-5
kostenlos	kostenlos	a2	무료의		claude-sonnet-5
krankenhaus	das Krankenhaus	a2	병원		claude-sonnet-5
krankenkasse	die Krankenkasse	a2	건강보험(조합)		claude-sonnet-5
